,COD_Munic,TX_PIB,TX_PER,PIB_21,PER_21
4372,4204103,-2.612233904153399,-0.36543780592511177,164133.021,47409.88
4373,4204152,-1.1049655847674644,-0.8884468811217572,65896.823,24325.15
4374,4204178,4.3282513362722765,5.93911761163829,141410.426,46933.43
4375,4204194,-0.25204834863779557,-1.0955830912766196,97926.114,32372.27
4376,4204202,2.480013437103612,0.47950178863923054,13693103.582,60166.46
4377,4204251,1.263352959489994,0.2258810210735096,885039.914,52196.27
4378,4204301,2.463474641891461,1.5541869276053721,4559276.137,60241.75
4379,4204350,0.36967484468304335,-1.4393467654940983,434563.937,94779.48
4380,4204400,-0.40312246922471484,-0.10560490917279064,381539.162,38539.31
4381,4204459,-0.4219474101781029,-0.7967158915998862,57373.097,22411.37
4382,4204509,0.9759265820021956,-0.5370120335942474,797518.149,48927.49
4383,4204558,-1.0494440004658712,0.652657276302171,591259.406,48011.32
4384,4204608,1.108207655397897,-0.1177085617299567,10063804.959,45871.13
4385,4204707,-2.0565418041678107,-2.5127199195088155,927504.491,83184.26
4386,4204756,2.502673988833765,2.069263047348019,66618.491,33782.2
4387,4204806,2.682432808795987,2.139475416344516,1875113.682,46834.52
4388,4204905,1.2065851565853492,1.7636836130111522,298971.881,36746.79
4389,4205001,2.0713946256230464,1.5932159977138205,636237.981,40805.41
4390,4205100,3.9637256655612187,2.790177283599382,165716.227,39232.06
4391,4205159,7.217898822137691,5.910253135721777,175696.44,42194.15
4392,4205175,-6.818583068288397,-7.452959955293171,61375.158,18989.84
4393,4205191,6.739105237048343,6.70308090832934,176541.056,85741.16
4394,4205209,1.4151670686868123,1.2952180282707892,183128.221,41403.62
4395,4205308,-0.919545216874118,-0.8910106499007031,758314.274,71337.18
4396,4205357,5.401305568727855,5.480843577846917,64272.805,40808.13
4397,4205407,-0.08846622755710465,-1.985210612609123,23555034.439,45602.98
4398,4205431,0.7547617319852262,1.1980488123464694,78628.763,31692.37
4399,4205456,2.697070097160048,0.8101088699150494,1224362.097,44327.22
4400,4205506,-1.6778629996343053,-2.2422035132963147,1273453.502,34677.27
4401,4205555,2.2723795861325335,4.646332447754769,102092.757,53228.76
4402,4205605,-6.23290171205611,-3.8730298897292457,99951.546,36868.88
4403,4205704,4.223998911258986,1.5937060747633125,773131.35,32120.12
4404,4205803,8.137395320995333,5.880063670211633,2033119.21,108052.68
4405,4205902,2.5656355984449264,0.5596208430617367,4156790.651,57793.4
4406,4206009,4.746883618444664,3.5835091037709987,449622.354,30505.62
4407,4206108,3.1296303624294475,2.55589815289074,329138.846,49711.35
4408,4206207,4.853764527286808,4.009656631266973,387230.759,33232.99
4409,4206306,0.016867398689524027,-2.788959112804068,1262670.302,50664.89
4410,4206405,1.8948818953909208,2.3830394449887384,454591.214,45623.37
4411,4206504,0.5681302272050548,-2.0783020997239166,2514107.576,53769.65
4412,4206603,2.388167376917366,1.8608461583627334,202542.106,38980.39
4413,4206652,-4.363183858284392,-4.389434414729831,354962.595,75652.73
4414,4206702,-1.2306531230255824,-1.8983221989329613,623924.361,27341.12
4415,4206751,1.116451654065559,1.0867314112389392,75603.463,38731.28
4416,4206801,2.6859543868877624,3.314720300772472,145405.548,46101.95
4417,4206900,-0.7783770583133176,-1.7439555812060248,599100.951,31141.54
4418,4207007,2.882003117145371,3.0363415505369806,3521296.122,60654.48
4419,4207106,7.636365189301841,6.12862166762409,1215152.511,83624.84
4420,4207205,0.8367924607361354,2.49707939265173,252787.783,25889.78
4421,4207304,5.522510482702381,4.324637193834163,2502431.216,54744.62
4422,4207403,3.1873854650242617,2.298078799803932,260667.315,41481.11
4423,4207502,1.2558570826036841,-1.3226436511506068,3675475.403,50804.13
4424,4207577,2.4699355589876015,1.697506735774157,227765.879,76457.16
4425,4207601,-0.2955559947710573,0.499672773844706,107119.587,24529.33
4426,4207650,3.023533553746116,2.3018419407799415,381271.683,41930.24
4427,4207684,-0.3814038259920105,-1.467370804228152,321467.446,42060.38
4428,4207700,2.3921254866655306,1.8603888434925886,465686.622,60897.95
4429,4207759,0.5308456853620358,1.335578401565063,133793.643,34297.27
4430,4207809,1.160108094959511,0.19604920483380361,282643.15,26727.48
4431,4207858,-5.428981790679488,-4.449647696727066,56612.744,30001.45
